"","MSA","year","FIRM","ESTB","naics_code","naics_descr"
"1",14460,2010,99418,122191,"--","Total"
"2",14460,2010,150,150,"11","Agriculture, forestry, fishing and hunting"
"3",14460,2010,11,11,"113","Forestry and logging"
"4",14460,2010,64,64,"114","Fishing, hunting and trapping"
"5",14460,2010,75,75,"115","Support activities for agriculture and forestry"
"6",14460,2010,45,47,"21","Mining, quarrying, and oil and gas extraction"
"7",14460,2010,8,8,"211","Oil and gas extraction"
"8",14460,2010,31,33,"212","Mining (except oil and gas)"
"9",14460,2010,6,6,"213","Support activities for mining"
"10",14460,2010,62,178,"22","Utilities"
"11",14460,2010,62,178,"221","Utilities"
"12",14460,2010,11292,11324,"23","Construction"
"13",14460,2010,3275,3281,"236","Construction of buildings"
"14",14460,2010,590,593,"237","Heavy and civil engineering construction"
"15",14460,2010,7432,7450,"238","Specialty trade contractors"
"16",14460,2010,4377,4568,"31-33","Manufacturing"
"17",14460,2010,403,413,"311","Food manufacturing"
"18",14460,2010,33,33,"312","Beverage and tobacco product manufacturing"
"19",14460,2010,46,47,"313","Textile mills"
"20",14460,2010,85,85,"314","Textile product mills"
"21",14460,2010,63,63,"315","Apparel manufacturing"
"22",14460,2010,26,27,"316","Leather and allied product manufacturing"
"23",14460,2010,98,98,"321","Wood product manufacturing"
"24",14460,2010,59,60,"322","Paper manufacturing"
"25",14460,2010,496,504,"323","Printing and related support activities"
"26",14460,2010,16,29,"324","Petroleum and coal products manufacturing"
"27",14460,2010,218,232,"325","Chemical manufacturing"
"28",14460,2010,164,172,"326","Plastics and rubber products manufacturing"
"29",14460,2010,131,140,"327","Nonmetallic mineral product manufacturing"
"30",14460,2010,42,43,"331","Primary metal manufacturing"
"31",14460,2010,826,834,"332","Fabricated metal product manufacturing"
"32",14460,2010,321,326,"333","Machinery manufacturing"
"33",14460,2010,508,550,"334","Computer and electronic product manufacturing"
"34",14460,2010,134,138,"335","Electrical equipment, appliance, and component manufacturing"
"35",14460,2010,95,95,"336","Transportation equipment manufacturing"
"36",14460,2010,207,208,"337","Furniture and related product manufacturing"
"37",14460,2010,468,471,"339","Miscellaneous manufacturing"
"38",14460,2010,5645,6332,"42","Wholesale trade"
"39",14460,2010,3133,3629,"423","Merchant wholesalers, durable goods"
"40",14460,2010,1595,1751,"424","Merchant wholesalers, nondurable goods"
"41",14460,2010,938,952,"425","Wholesale electronic markets and agents and brokers"
"42",14460,2010,11146,16547,"44-45","Retail trade"
"43",14460,2010,978,1306,"441","Motor vehicle and parts dealers"
"44",14460,2010,626,879,"442","Furniture and home furnishings stores"
"45",14460,2010,410,712,"443","Electronics and appliance stores"
"46",14460,2010,841,1132,"444","Building material and garden equipment and supplies dealers"
"47",14460,2010,2715,3219,"445","Food and beverage stores"
"48",14460,2010,478,1314,"446","Health and personal care stores"
"49",14460,2010,962,1306,"447","Gasoline stations"
"50",14460,2010,1138,2584,"448","Clothing and clothing accessories stores"
"51",14460,2010,614,984,"451","Sporting goods, hobby, book, and music stores"
"52",14460,2010,138,430,"452","General merchandise stores"
"53",14460,2010,1324,1653,"453","Miscellaneous store retailers"
"54",14460,2010,981,1028,"454","Nonstore retailers"
"55",14460,2010,2190,2492,"48-49","Transportation and warehousing"
"56",14460,2010,56,74,"481","Air transportation"
"57",14460,2010,26,28,"483","Water transportation"
"58",14460,2010,870,914,"484","Truck transportation"
"59",14460,2010,474,541,"485","Transit and ground passenger transportation"
"60",14460,2010,6,13,"486","Pipeline transportation"
"61",14460,2010,56,57,"487","Scenic and sightseeing transportation"
"62",14460,2010,492,534,"488","Support activities for transportation"
"63",14460,2010,107,163,"492","Couriers and messengers"
"64",14460,2010,130,168,"493","Warehousing and storage"
"65",14460,2010,1743,2777,"51","Information"
"66",14460,2010,670,789,"511","Publishing industries (except Internet)"
"67",14460,2010,294,324,"512","Motion picture and sound recording industries"
"68",14460,2010,101,146,"515","Broadcasting (except Internet)"
"69",14460,2010,207,956,"517","Telecommunications"
"70",14460,2010,289,339,"518","Data processing, hosting and related services"
"71",14460,2010,208,223,"519","Other information services"
"72",14460,2010,4211,7210,"52","Finance and insurance"
"73",14460,2010,1,1,"521","Monetary authorities- central bank"
"74",14460,2010,723,2587,"522","Credit intermediation and related activities"
"75",14460,2010,1563,2079,"523","Securities, commodity contracts, and other financial investments and related activities"
"76",14460,2010,1949,2512,"524","Insurance carriers and related activities"
"77",14460,2010,31,31,"525","Funds, trusts, and other financial vehicles"
"78",14460,2010,3584,4701,"53","Real estate and rental and leasing"
"79",14460,2010,3154,3983,"531","Real estate"
"80",14460,2010,402,689,"532","Rental and leasing services"
"81",14460,2010,28,29,"533","Lessors of nonfinancial intangible assets (except copyrighted works)"
"82",14460,2010,16211,17155,"54","Professional, scientific, and technical services"
"83",14460,2010,16211,17155,"541","Professional, scientific, and technical services"
"84",14460,2010,652,959,"55","Management of companies and enterprises"
"85",14460,2010,652,959,"551","Management of companies and enterprises"
"86",14460,2010,6233,7037,"56","Administrative and support and waste management and remediation services"
"87",14460,2010,5878,6620,"561","Administrative and support services"
"88",14460,2010,358,417,"562","Waste management and remediation services"
"89",14460,2010,1849,1974,"61","Educational services"
