"","MSA","year","ENTRSIZE","FIRM","ESTB"
"1",14460,2010,1,99418,122191
"2",14460,2010,2,57348,57454
"3",14460,2010,3,16692,16852
"4",14460,2010,4,10741,11120
"5",14460,2010,5,84781,85426
"6",14460,2010,6,9322,11119
"7",14460,2010,7,2699,5929
"8",14460,2010,8,96802,102474
"9",14460,2010,9,2616,19717
"10",14860,2010,1,23181,27027
"11",14860,2010,2,13491,13504
"12",14860,2010,3,3750,3780
"13",14860,2010,4,2383,2439
"14",14860,2010,5,19624,19723
"15",14860,2010,6,2001,2276
"16",14860,2010,7,552,1146
"17",14860,2010,8,22177,23145
"18",14860,2010,9,1004,3882
"19",25540,2010,1,23999,29549
"20",25540,2010,2,12677,12695
"21",25540,2010,3,4164,4213
"22",25540,2010,4,2655,2744
"23",25540,2010,5,19496,19652
"24",25540,2010,6,2366,2810
"25",25540,2010,7,781,1594
"26",25540,2010,8,22643,24056
"27",25540,2010,9,1356,5493
"28",35300,2010,1,16763,19607
"29",35300,2010,2,8991,8998
"30",35300,2010,3,2851,2878
"31",35300,2010,4,1909,1959
"32",35300,2010,5,13751,13835
"33",35300,2010,6,1688,1953
"34",35300,2010,7,497,880
"35",35300,2010,8,15936,16668
"36",35300,2010,9,827,2939
"37",35620,2010,1,466783,533395
"38",35620,2010,2,313449,313808
"39",35620,2010,3,68568,69081
"40",35620,2010,4,40262,41370
"41",35620,2010,5,422279,424259
"42",35620,2010,6,33165,38077
"43",35620,2010,7,7230,16139
"44",35620,2010,8,462674,478475
"45",35620,2010,9,4109,54920
"46",35980,2010,1,5003,5791
"47",35980,2010,2,2615,2617
"48",35980,2010,3,866,871
"49",35980,2010,4,549,570
"50",35980,2010,5,4030,4058
"51",35980,2010,6,429,525
"52",35980,2010,7,163,342
"53",35980,2010,8,4622,4925
"54",35980,2010,9,381,866
"55",45860,2010,1,4552,4969
"56",45860,2010,2,2740,2744
"57",45860,2010,3,735,738
"58",45860,2010,4,435,453
"59",45860,2010,5,3910,3935
"60",45860,2010,6,314,358
"61",45860,2010,7,122,224
"62",45860,2010,8,4346,4517
"63",45860,2010,9,206,452
"64",49340,2010,1,14987,17625
"65",49340,2010,2,8480,8487
"66",49340,2010,3,2479,2505
"67",49340,2010,4,1538,1572
"68",49340,2010,5,12497,12564
"69",49340,2010,6,1274,1527
"70",49340,2010,7,443,902
"71",49340,2010,8,14214,14993
"72",49340,2010,9,773,2632
"73",14460,2011,1,98935,121796
"74",14460,2011,2,57000,57141
"75",14460,2011,3,16860,17025
"76",14460,2011,4,10340,10727
"77",14460,2011,5,84200,84893
"78",14460,2011,6,9479,11242
"79",14460,2011,7,2650,5907
"80",14460,2011,8,96329,102042
"81",14460,2011,9,2606,19754
"82",14860,2011,1,22920,26725
"83",14860,2011,2,13307,13322
"84",14860,2011,3,3709,3741
"85",14860,2011,4,2346,2394
"86",14860,2011,5,19362,19457
"87",14860,2011,6,1998,2283
"88",14860,2011,7,541,1136
"89",14860,2011,8,21901,22876
"90",14860,2011,9,1019,3849
"91",25540,2011,1,23550,29007
"92",25540,2011,2,12409,12428
"93",25540,2011,3,4215,4273
"94",25540,2011,4,2512,2603
"95",25540,2011,5,19136,19304
"96",25540,2011,6,2347,2763
"97",25540,2011,7,778,1622
"98",25540,2011,8,22261,23689
"99",25540,2011,9,1289,5318
"100",35300,2011,1,16441,19261
"101",35300,2011,2,8710,8722
"102",35300,2011,3,2898,2919
"103",35300,2011,4,1868,1914
"104",35300,2011,5,13476,13555
"105",35300,2011,6,1652,1893
"106",35300,2011,7,481,889
"107",35300,2011,8,15609,16337
"108",35300,2011,9,832,2924
"109",35620,2011,1,467736,534157
"110",35620,2011,2,312989,313301
"111",35620,2011,3,69668,70208
"112",35620,2011,4,40087,41111
"113",35620,2011,5,422744,424620
"114",35620,2011,6,33645,38378
"115",35620,2011,7,7208,15943
"116",35620,2011,8,463597,478941
"117",35620,2011,9,4139,55216
"118",35980,2011,1,4897,5675
"119",35980,2011,2,2547,2549
"120",35980,2011,3,850,858
"121",35980,2011,4,542,559
"122",35980,2011,5,3939,3966
"123",35980,2011,6,422,517
"124",35980,2011,7,159,341
"125",35980,2011,8,4520,4824
"126",35980,2011,9,377,851
"127",45860,2011,1,4488,4909
"128",45860,2011,2,2715,2720
"129",45860,2011,3,715,718
"130",45860,2011,4,417,436
"131",45860,2011,5,3847,3874
"132",45860,2011,6,308,350
"133",45860,2011,7,124,241
"134",45860,2011,8,4279,4465
"135",45860,2011,9,209,444
"136",49340,2011,1,14745,17421
"137",49340,2011,2,8318,8330
"138",49340,2011,3,2481,2503
"139",49340,2011,4,1429,1465
"140",49340,2011,5,12228,12298
"141",49340,2011,6,1284,1532
"142",49340,2011,7,460,944
"143",49340,2011,8,13972,14774
"144",49340,2011,9,773,2647
"145",14460,2012,1,100494,123576
"146",14460,2012,2,57343,57398
"147",14460,2012,3,17290,17459
"148",14460,2012,4,10546,10942
"149",14460,2012,5,85179,85799
"150",14460,2012,6,9931,11928
"151",14460,2012,7,2752,6074
"152",14460,2012,8,97862,103801
"153",14460,2012,9,2632,19775
"154",14860,2012,1,22929,26814
"155",14860,2012,2,13123,13138
"156",14860,2012,3,3843,3876
"157",14860,2012,4,2334,2395
"158",14860,2012,5,19300,19409
"159",14860,2012,6,2044,2314
"160",14860,2012,7,567,1224
"161",14860,2012,8,21911,22947
"162",14860,2012,9,1018,3867
"163",25540,2012,1,23525,29054
"164",25540,2012,2,12300,12316
"165",25540,2012,3,4201,4234
"166",25540,2012,4,2518,2623
"167",25540,2012,5,19019,19173
"168",25540,2012,6,2440,2911
"169",25540,2012,7,789,1697
"170",25540,2012,8,22248,23781
"171",25540,2012,9,1277,5273
"172",35300,2012,1,16490,19360
"173",35300,2012,2,8734,8739
"174",35300,2012,3,2830,2849
"175",35300,2012,4,1910,1978
"176",35300,2012,5,13474,13566
"177",35300,2012,6,1701,1989
"178",35300,2012,7,484,870
"179",35300,2012,8,15659,16425
"180",35300,2012,9,831,2935
"181",35620,2012,1,486065,556888
"182",35620,2012,2,322838,323058
"183",35620,2012,3,73507,73943
"184",35620,2012,4,41842,43116
"185",35620,2012,5,438187,440117
"186",35620,2012,6,35910,41567
"187",35620,2012,7,7702,17276
"188",35620,2012,8,481799,498960
"189",35620,2012,9,4266,57928
"190",35980,2012,1,4933,5706
"191",35980,2012,2,2554,2559
"192",35980,2012,3,856,861
"193",35980,2012,4,536,556
"194",35980,2012,5,3946,3976
"195",35980,2012,6,432,504
"196",35980,2012,7,170,363
"197",35980,2012,8,4548,4843
"198",35980,2012,9,385,863
"199",45860,2012,1,4418,4847
"200",45860,2012,2,2617,2619
"201",45860,2012,3,727,733
"202",45860,2012,4,409,419
"203",45860,2012,5,3753,3771
"204",45860,2012,6,329,377
"205",45860,2012,7,135,251
"206",45860,2012,8,4217,4399
"207",45860,2012,9,201,448
"208",49340,2012,1,16688,19745
"209",49340,2012,2,9245,9252
"210",49340,2012,3,2920,2937
"211",49340,2012,4,1636,1681
"212",49340,2012,5,13801,13870
"213",49340,2012,6,1516,1836
"214",49340,2012,7,558,1139
"215",49340,2012,8,15875,16845
"216",49340,2012,9,813,2900
"217",14460,2013,1,101399,124705
"218",14460,2013,2,57805,57861
"219",14460,2013,3,17296,17465
"220",14460,2013,4,10716,11062
"221",14460,2013,5,85817,86388
"222",14460,2013,6,10111,11978
"223",14460,2013,7,2765,6092
"224",14460,2013,8,98693,104458
"225",14460,2013,9,2706,20247
"226",14860,2013,1,23038,26972
"227",14860,2013,2,13221,13234
"228",14860,2013,3,3856,3887
"229",14860,2013,4,2292,2351
"230",14860,2013,5,19369,19472
"231",14860,2013,6,2088,2345
"232",14860,2013,7,565,1183
"233",14860,2013,8,22022,23000
"234",14860,2013,9,1016,3972
"235",25540,2013,1,23522,29158
"236",25540,2013,2,12342,12360
"237",25540,2013,3,4142,4181
"238",25540,2013,4,2574,2669
"239",25540,2013,5,19058,19210
"240",25540,2013,6,2377,2815
"241",25540,2013,7,789,1667
"242",25540,2013,8,22224,23692
"243",25540,2013,9,1298,5466
"244",35300,2013,1,16561,19431
"245",35300,2013,2,8802,8809
"246",35300,2013,3,2848,2869
"247",35300,2013,4,1892,1949
"248",35300,2013,5,13542,13627
"249",35300,2013,6,1708,1966
"250",35300,2013,7,485,906
"251",35300,2013,8,15735,16499
"252",35300,2013,9,826,2932
"253",35620,2013,1,493151,564394
"254",35620,2013,2,328075,328343
"255",35620,2013,3,74059,74507
"256",35620,2013,4,42530,43627
"257",35620,2013,5,444664,446477
"258",35620,2013,6,36265,41630
"259",35620,2013,7,7853,17248
"260",35620,2013,8,488782,505355
"261",35620,2013,9,4369,59039
"262",35980,2013,1,4930,5698
"263",35980,2013,2,2554,2555
"264",35980,2013,3,830,835
"265",35980,2013,4,538,560
"266",35980,2013,5,3922,3950
"267",35980,2013,6,433,504
"268",35980,2013,7,173,374
"269",35980,2013,8,4528,4828
"270",35980,2013,9,402,870
"271",45860,2013,1,4356,4782
"272",45860,2013,2,2618,2621
"273",45860,2013,3,692,695
"274",45860,2013,4,385,398
"275",45860,2013,5,3695,3714
"276",45860,2013,6,335,375
"277",45860,2013,7,132,237
"278",45860,2013,8,4162,4326
"279",45860,2013,9,194,456
"280",49340,2013,1,16673,19727
"281",49340,2013,2,9290,9298
"282",49340,2013,3,2804,2818
"283",49340,2013,4,1680,1717
"284",49340,2013,5,13774,13833
"285",49340,2013,6,1508,1805
"286",49340,2013,7,555,1062
"287",49340,2013,8,15837,16700
"288",49340,2013,9,836,3027
"289",14460,2014,1,102133,125686
"290",14460,2014,2,58077,58141
"291",14460,2014,3,17349,17487
"292",14460,2014,4,10884,11217
"293",14460,2014,5,86310,86845
"294",14460,2014,6,10253,12104
"295",14460,2014,7,2825,6102
"296",14460,2014,8,99388,105051
"297",14460,2014,9,2745,20635
"298",14860,2014,1,23005,27022
"299",14860,2014,2,13121,13134
"300",14860,2014,3,3830,3861
"301",14860,2014,4,2297,2347
"302",14860,2014,5,19248,19342
"303",14860,2014,6,2130,2425
"304",14860,2014,7,570,1143
