"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C01_008E","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M","S1901_C04_006E"
"id","Geographic Area Name","Households!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Households!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Mean income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Households!!Estimate!!$75,000 to $99,999","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!$35,000 to $49,999"
"310M100US48740","Willimantic, CT Micro Area","43167","1526","6.5","1.7","4.9","1.6","9.1","2.1","7.6","1.9","16.2","3.0","19.0","2.8","2.4","15.1","2.5","3.8","1.1","2.5","1.0","54098","4208","68533","4051","29.1","(X)","(X)","(X)","(X)","(X)","29177","1754","4.3","1.5","2.2","1.2","7.5","2.1","6.8","2.0","15.8","3.5","17.4","3.0","19.4","3.6","18.0","3.1","5.4","1.6","3.2","1.3","68272","7476","77407","3854","(X)","(X)","29.2","(X)","(X)","(X)","21614","1915","1.0","0.9","0.8","0.8","4.8","2.1","4.9","1.9","13.5","3.1","18.0","3.4","23.2","4.1","22.4","3.6","7.1","2.1","4.3","1.8","82122","4786","15.4","N","N","(X)","(X)","(X)","(X)","(X)","(X)","13990","1341","12.6","4.3","9.0","3.6","15.2","4.6","11.8","4.2","5.9","19.9","5.2","8.2","3.4","4.8","2.4","0.5","0.6","1.0","1.0","35981","5425","45730","7058","(X)","(X)","(X)","(X)","23.4","(X)","16.9"
"310M100US48900","Wilmington, NC Metro Area","152292","3798","6.9","1.0","5.5","0.8","11.0","1.3","11.6","1.3","15.0","1.6","19.9","1.8","1.1","12.2","1.3","2.4","0.5","3.3","0.8","49999","1652","66098","4050","29.3","(X)","(X)","(X)","(X)","(X)","98975","3914","4.4","1.2","3.3","0.8","7.9","1.5","10.5","1.6","14.9","2.0","20.5","2.0","14.9","1.4","16.0","1.8","3.1","0.8","4.6","1.2","59973","3675","78327","6075","(X)","(X)","29.9","(X)","(X)","(X)","74058","3872","1.0","0.4","1.6","0.6","5.1","1.4","7.9","1.6","13.8","2.0","22.2","2.4","18.5","1.7","20.3","2.2","4.1","1.0","5.6","1.5","72896","3751","12.2","N","N","(X)","(X)","(X)","(X)","(X)","(X)","53317","3026","12.3","1.9","10.5","2.1","17.5","2.5","15.8","2.5","2.1","17.5","2.7","6.3","1.8","4.4","1.5","1.3","0.5","0.9","0.7","30803","1807","40964","2331","(X)","(X)","(X)","(X)","26.7","(X)","13.5"
"310M100US48980","Wilson, NC Micro Area","31762","1146","13.4","3.0","8.2","1.9","12.3","2.4","11.3","2.6","17.1","3.5","19.9","3.4","2.7","6.1","1.9","2.2","1.1","0.6","0.5","37020","2118","48897","4699","31.0","(X)","(X)","(X)","(X)","(X)","19810","1343","9.2","3.1","4.1","2.0","9.7","2.8","10.5","2.9","19.0","4.8","23.1","4.0","12.3","3.7","7.8","2.6","3.5","1.8","0.9","0.8","48755","3417","59574","7478","(X)","(X)","30.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","62248","4372","8.9","N","N","(X)","(X)","(X)","(X)","(X)","(X)","11952","1422","21.7","5.8","15.1","4.2","17.1","4.7","12.2","4.9","4.8","14.8","6.0","0.6","0.9","2.5","2.3","0.0","1.3","0.0","1.3","21567","4230","29303","4114","(X)","(X)","(X)","(X)","31.5","(X)","16.0"
"310M100US49020","Winchester, VA-WV Metro Area","50815","1846","7.7","1.7","5.7","1.7","12.4","2.1","10.9","2.2","14.8","2.3","13.5","2.2","2.5","13.4","2.5","4.2","1.3","3.1","1.1","47850","3783","66197","3891","27.7","(X)","(X)","(X)","(X)","(X)","31324","1605","2.0","0.9","2.0","1.3","10.2","2.7","10.8","2.7","10.8","2.7","16.2","3.1","19.2","3.8","19.1","3.8","6.1","2.0","3.6","1.6","72111","6755","80383","4928","(X)","(X)","29.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","77480","6472","14.3","N","N","(X)","(X)","(X)","(X)","(X)","(X)","19491","2026","16.9","3.9","11.9","3.8","16.2","3.7","11.7","3.2","4.8","9.4","3.2","5.6","2.5","3.5","1.7","0.7","1.1","2.3","1.9","29700","5127","41698","6480","(X)","(X)","(X)","(X)","25.5","(X)","21.8"
"310M100US49180","Winston-Salem, NC Metro Area","193105","2485","8.4","1.0","7.7","1.0","14.5","1.3","12.2","1.0","14.5","1.3","16.4","1.3","1.1","10.1","1.0","2.9","0.5","3.3","0.6","42254","1561","61352","2865","27.9","(X)","(X)","(X)","(X)","(X)","125823","3445","6.1","1.1","4.8","0.9","11.8","1.5","10.6","1.3","13.0","1.3","18.1","1.7","12.7","1.5","14.2","1.5","4.3","0.8","4.4","0.9","53286","3383","71785","2853","(X)","(X)","27.2","(X)","(X)","(X)","89616","3035","1.9","0.9","2.3","0.8","8.1","1.5","9.0","1.4","13.2","1.6","19.2","1.8","16.2","2.0","18.6","1.9","5.6","1.1","5.9","1.2","69582","3649","9.9","86364","3556","(X)","(X)","(X)","(X)","(X)","(X)","67282","3349","15.7","2.5","13.2","1.9","20.2","2.3","14.9","2.2","2.4","12.2","1.9","4.2","1.3","2.4","0.9","0.2","0.2","1.3","0.7","25589","1966","39814","6743","(X)","(X)","(X)","(X)","27.8","(X)","15.6"
"310M100US49300","Wooster, OH Micro Area","42246","1088","5.9","1.5","4.8","1.4","12.1","1.9","11.2","2.2","17.8","2.6","20.5","2.8","2.2","10.9","1.8","1.6","0.7","1.8","0.7","47946","3492","60019","2566","36.7","(X)","(X)","(X)","(X)","(X)","30211","1484","3.0","1.3","2.7","1.3","7.8","2.1","9.9","2.1","16.8","2.7","24.9","3.3","16.2","2.7","14.5","2.5","2.1","1.0","2.2","1.0","62227","4785","69100","3385","(X)","(X)","34.2","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","67833","2603","13.3","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12035","1380","15.3","4.1","11.4","3.9","23.1","4.3","16.9","4.6","4.6","8.3","3.2","5.6","3.9","1.3","1.1","0.3","0.5","0.9","0.9","25141","3481","34708","4862","(X)","(X)","(X)","(X)","41.7","(X)","17.0"
"310M100US49340","Worcester, MA Metro Area","300308","3373","6.0","0.7","5.2","0.6","9.7","0.8","8.3","0.8","11.6","0.9","17.0","1.0","0.8","16.8","1.0","6.9","0.7","5.3","0.6","62505","1711","79867","1854","27.5","(X)","(X)","(X)","(X)","(X)","196645","4218","3.6","0.7","2.7","0.6","6.5","1.0","7.0","0.8","10.0","1.0","17.2","1.0","14.9","1.0","21.4","1.1","9.1","1.0","7.4","0.8","79320","1936","94939","2226","(X)","(X)","27.4","(X)","(X)","(X)","144469","4547","0.7","0.3","1.1","0.4","3.9","0.9","4.9","0.9","9.0","0.9","16.5","1.0","16.2","1.2","26.4","1.4","11.6","1.2","9.7","1.1","95726","3259","13.1","110856","2856","(X)","(X)","(X)","(X)","(X)","(X)","103663","3993","12.4","1.6","10.8","1.4","15.9","1.6","10.8","1.5","1.6","16.4","1.9","9.2","1.3","6.6","1.2","2.5","0.8","1.1","0.5","35150","2058","47905","2343","(X)","(X)","(X)","(X)","26.4","(X)","14.3"
"310M100US49420","Yakima, WA Metro Area","78472","1783","8.7","1.6","6.9","1.4","12.1","1.6","11.3","1.7","17.5","2.2","17.8","2.0","1.6","9.7","1.5","2.4","0.7","1.7","0.7","43942","2209","56919","3101","27.0","(X)","(X)","(X)","(X)","(X)","56048","2389","6.2","1.5","5.6","1.7","10.9","1.6","8.8","1.5","17.9","2.7","20.1","2.2","13.3","1.8","12.4","2.2","2.9","1.0","1.9","0.8","50549","2715","63512","3655","(X)","(X)","29.3","(X)","(X)","(X)","40911","2359","2.8","1.3","3.6","1.5","7.8","1.7","8.1","1.7","17.2","3.2","22.3","2.8","16.3","2.5","16.2","2.8","3.0","1.0","2.6","1.1","61225","2409","12.0","73770","4618","(X)","(X)","(X)","(X)","(X)","(X)","22424","1881","18.7","4.2","10.0","2.4","16.6","3.3","17.8","4.4","4.1","10.7","3.4","7.5","3.0","2.3","1.1","0.8","1.0","1.0","1.6","26895","2293","36416","4342","(X)","(X)","(X)","(X)","18.8","(X)","14.5"
"310M100US49500","Yauco, PR Metro Area","30718","1559","36.6","3.4","12.0","2.2","20.4","3.1","14.6","2.6","7.9","2.1","5.7","1.9","1.0","0.8","0.6","0.1","0.1","0.1","0.2","15561","1354","20975","1668","27.0","(X)","(X)","(X)","(X)","(X)","23618","1533","30.6","3.3","11.9","2.9","20.7","3.4","17.8","3.3","9.3","2.6","6.9","2.3","1.6","1.0","0.8","0.8","0.1","0.2","0.1","0.2","18297","1619","23064","1932","(X)","(X)","25.0","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","23130","2429","1.8","N","N","(X)","(X)","(X)","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","7588","1358","N","N","(X)","(X)","(X)","(X)","30.7","(X)","N"
