"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Households!!Estimate!!Total","Households!!Margin of Error!!Total","Households!!Estimate!!Less than $10,000","Households!!Margin of Error!!Less than $10,000","Households!!Estimate!!$10,000 to $14,999","Households!!Margin of Error!!$10,000 to $14,999","Households!!Estimate!!$15,000 to $24,999","Households!!Margin of Error!!$15,000 to $24,999","Households!!Estimate!!$25,000 to $34,999","Households!!Margin of Error!!$25,000 to $34,999","Households!!Estimate!!$35,000 to $49,999","Households!!Margin of Error!!$35,000 to $49,999","Households!!Estimate!!$50,000 to $74,999","Households!!Margin of Error!!$50,000 to $74,999","Households!!Estimate!!$75,000 to $99,999","Households!!Margin of Error!!$75,000 to $99,999","Households!!Estimate!!$100,000 to $149,999","Households!!Margin of Error!!$100,000 to $149,999","Households!!Estimate!!$150,000 to $199,999","Households!!Margin of Error!!$150,000 to $199,999","Households!!Estimate!!$200,000 or more","Households!!Margin of Error!!$200,000 or more","Households!!Estimate!!Median income (dollars)","Households!!Margin of Error!!Median income (dollars)","Households!!Estimate!!Mean income (dollars)","Households!!Margin of Error!!Mean income (dollars)","Households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Estimate!!Total","Families!!Margin of Error!!Total","Families!!Estimate!!Less than $10,000","Families!!Margin of Error!!Less than $10,000","Families!!Estimate!!$10,000 to $14,999","Families!!Margin of Error!!$10,000 to $14,999","Families!!Estimate!!$15,000 to $24,999","Families!!Margin of Error!!$15,000 to $24,999","Families!!Estimate!!$25,000 to $34,999","Families!!Margin of Error!!$25,000 to $34,999","Families!!Estimate!!$35,000 to $49,999","Families!!Margin of Error!!$35,000 to $49,999","Families!!Estimate!!$50,000 to $74,999","Families!!Margin of Error!!$50,000 to $74,999","Families!!Estimate!!$75,000 to $99,999","Families!!Margin of Error!!$75,000 to $99,999","Families!!Estimate!!$100,000 to $149,999","Families!!Margin of Error!!$100,000 to $149,999","Families!!Estimate!!$150,000 to $199,999","Families!!Margin of Error!!$150,000 to $199,999","Families!!Estimate!!$200,000 or more","Families!!Margin of Error!!$200,000 or more","Families!!Estimate!!Median income (dollars)","Families!!Margin of Error!!Median income (dollars)","Families!!Estimate!!Mean income (dollars)","Families!!Margin of Error!!Mean income (dollars)","Families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Estimate!!Total","Married-couple families!!Margin of Error!!Total","Married-couple families!!Estimate!!Less than $10,000","Married-couple families!!Margin of Error!!Less than $10,000","Married-couple families!!Estimate!!$10,000 to $14,999","Married-couple families!!Margin of Error!!$10,000 to $14,999","Married-couple families!!Estimate!!$15,000 to $24,999","Married-couple families!!Margin of Error!!$15,000 to $24,999","Married-couple families!!Estimate!!$25,000 to $34,999","Married-couple families!!Margin of Error!!$25,000 to $34,999","Married-couple families!!Estimate!!$35,000 to $49,999","Married-couple families!!Margin of Error!!$35,000 to $49,999","Married-couple families!!Estimate!!$50,000 to $74,999","Married-couple families!!Margin of Error!!$50,000 to $74,999","Married-couple families!!Estimate!!$75,000 to $99,999","Married-couple families!!Margin of Error!!$75,000 to $99,999","Married-couple families!!Estimate!!$100,000 to $149,999","Married-couple families!!Margin of Error!!$100,000 to $149,999","Married-couple families!!Estimate!!$150,000 to $199,999","Married-couple families!!Margin of Error!!$150,000 to $199,999","Married-couple families!!Estimate!!$200,000 or more","Married-couple families!!Margin of Error!!$200,000 or more","Married-couple families!!Estimate!!Median income (dollars)","Married-couple families!!Margin of Error!!Median income (dollars)","Married-couple families!!Estimate!!Mean income (dollars)","Married-couple families!!Margin of Error!!Mean income (dollars)","Married-couple families!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Estimate!!Total","Nonfamily households!!Margin of Error!!Total","Nonfamily households!!Estimate!!Less than $10,000","Nonfamily households!!Margin of Error!!Less than $10,000","Nonfamily households!!Estimate!!$10,000 to $14,999","Nonfamily households!!Margin of Error!!$10,000 to $14,999","Nonfamily households!!Estimate!!$15,000 to $24,999","Nonfamily households!!Margin of Error!!$15,000 to $24,999","Nonfamily households!!Estimate!!$25,000 to $34,999","Nonfamily households!!Margin of Error!!$25,000 to $34,999","Nonfamily households!!Estimate!!$35,000 to $49,999","Nonfamily households!!Margin of Error!!$35,000 to $49,999","Nonfamily households!!Estimate!!$50,000 to $74,999","Nonfamily households!!Margin of Error!!$50,000 to $74,999","Nonfamily households!!Estimate!!$75,000 to $99,999","Nonfamily households!!Margin of Error!!$75,000 to $99,999","Nonfamily households!!Estimate!!$100,000 to $149,999","Nonfamily households!!Margin of Error!!$100,000 to $149,999","Nonfamily households!!Estimate!!$150,000 to $199,999","Nonfamily households!!Margin of Error!!$150,000 to $199,999","Nonfamily households!!Estimate!!$200,000 or more","Nonfamily households!!Margin of Error!!$200,000 or more","Nonfamily households!!Estimate!!Median income (dollars)","Nonfamily households!!Margin of Error!!Median income (dollars)","Nonfamily households!!Estimate!!Mean income (dollars)","Nonfamily households!!Margin of Error!!Mean income (dollars)","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"310M200US10140","Aberdeen, WA Micro Area","27401","1291","10.6","3.2","6.5","2.5","11.3","3.0","11.4","2.6","18.1","3.4","19.0","3.6","10.0","2.6","9.8","2.3","1.0","0.8","2.2","1.2","43356","2589","55748","4341","36.5","(X)","(X)","(X)","(X)","(X)","17680","1410","6.5","3.0","3.2","1.8","6.9","3.0","12.8","3.7","20.7","4.0","19.9","5.0","12.3","3.7","13.0","3.3","1.6","1.2","3.1","1.8","49877","8615","64121","5496","(X)","(X)","40.8","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","61273","5319","N","N","(X)","(X)","(X)","(X)","(X)","(X)","9721","1383","20.5","6.8","12.6","6.1","21.1","7.3","8.8","4.4","10.8","3.9","18.3","6.7","4.0","2.4","3.4","3.5","0.0","1.6","0.7","0.8","23674","3106","38154","7403","(X)","(X)","(X)","(X)","27.6","(X)"
"310M200US10180","Abilene, TX Metro Area","59932","1780","7.6","1.5","6.4","1.6","11.2","2.0","13.6","2.1","16.6","2.1","17.9","2.5","11.7","2.2","8.8","1.6","3.2","1.0","3.0","1.0","44303","2767","61532","3219","28.8","(X)","(X)","(X)","(X)","(X)","41437","2126","4.5","1.4","4.5","1.6","9.5","2.3","11.3","2.3","15.5","2.7","20.1","3.1","14.7","2.8","11.4","2.2","4.4","1.4","4.1","1.5","54401","3927","71413","4267","(X)","(X)","29.7","(X)","(X)","(X)","30840","2097","3.0","1.4","2.5","1.5","6.4","2.2","10.2","2.7","15.5","3.2","20.8","3.7","17.4","3.5","13.7","2.7","5.8","1.9","4.6","1.7","62120","7344","N","N","(X)","(X)","(X)","(X)","(X)","(X)","18495","1718","15.7","3.4","11.0","3.6","17.6","4.4","20.0","4.5","15.3","4.3","12.1","3.5","4.6","2.2","2.7","2.1","0.5","0.5","0.4","0.5","28124","4330","37423","5588","(X)","(X)","(X)","(X)","25.2","(X)"
"310M200US10300","Adrian, MI Micro Area","38483","1104","6.2","1.7","4.5","1.6","14.3","2.4","11.9","2.1","15.9","2.3","18.6","2.2","13.9","2.2","10.6","1.8","2.5","0.8","1.5","0.6","46739","3911","60711","3830","31.3","(X)","(X)","(X)","(X)","(X)","25712","1361","3.9","1.2","2.7","1.6","10.2","2.6","9.7","2.3","15.1","3.0","22.1","2.9","17.4","2.9","13.4","2.4","3.5","1.2","2.0","0.9","58340","4796","71074","5453","(X)","(X)","27.8","(X)","(X)","(X)","19055","1205","0.9","0.7","1.2","1.0","4.2","1.5","8.7","2.6","14.3","3.1","24.8","3.8","21.9","3.7","17.0","3.0","4.4","1.5","2.6","1.2","70540","4598","N","N","(X)","(X)","(X)","(X)","(X)","(X)","12771","1298","12.2","4.6","8.2","3.1","24.4","5.0","16.2","4.8","15.7","4.3","11.6","3.8","5.6","3.0","5.1","2.7","0.4","0.6","0.6","0.7","28533","1895","38143","4615","(X)","(X)","(X)","(X)","37.0","(X)"
"310M200US10380","Aguadilla-Isabela, PR Metro Area","108557","2740","32.9","2.4","14.7","1.8","18.8","1.8","11.7","1.5","10.4","1.7","8.5","1.5","1.1","0.5","1.3","0.5","0.2","0.2","0.4","0.3","15886","939","23613","1475","27.1","(X)","(X)","(X)","(X)","(X)","79418","3063","27.6","2.4","14.1","2.2","20.7","2.2","12.1","1.7","12.4","2.1","9.8","1.9","1.2","0.6","1.4","0.6","0.2","0.2","0.5","0.4","18180","1355","25940","1822","(X)","(X)","29.4","(X)","(X)","(X)","47690","2593","18.7","2.9","15.0","2.8","19.9","3.1","14.5","2.5","15.4","2.9","12.9","2.6","1.3","0.8","1.6","0.8","0.3","0.3","0.4","0.4","22426","2327","N","N","(X)","(X)","(X)","(X)","(X)","(X)","29139","2327","50.4","4.7","17.3","3.5","15.6","3.2","7.2","2.1","4.8","2.1","3.7","2.0","0.2","0.4","0.3","0.4","0.2","0.4","0.3","0.5","9892","1113","14568","1769","(X)","(X)","(X)","(X)","19.2","(X)"
"310M200US10420","Akron, OH Metro Area","283364","3169","8.0","0.8","4.9","0.6","11.1","0.8","11.1","0.9","14.3","1.0","18.8","1.2","11.8","0.9","11.8","0.8","4.6","0.6","3.6","0.5","50538","1279","67821","1778","29.7","(X)","(X)","(X)","(X)","(X)","177332","4096","4.4","0.9","2.6","0.6","7.2","1.1","9.3","1.0","13.3","1.2","21.7","1.6","14.5","1.2","15.7","1.2","6.5","0.8","4.8","0.7","63707","2053","82024","2584","(X)","(X)","28.7","(X)","(X)","(X)","127026","3395","1.1","0.5","0.9","0.3","4.0","0.7","7.0","0.9","13.0","1.3","22.5","1.9","16.9","1.6","19.8","1.5","8.3","1.0","6.4","1.0","76545","2112","95818","3173","(X)","(X)","(X)","(X)","(X)","(X)","106032","3813","15.2","1.8","8.5","1.3","18.5","1.6","14.7","1.7","16.2","1.6","13.6","1.5","6.3","1.2","4.8","1.0","1.2","0.5","1.1","0.5","30394","1345","41547","2195","(X)","(X)","(X)","(X)","29.9","(X)"
"310M200US10460","Alamogordo, NM Micro Area","23190","1545","6.1","2.2","9.4","3.1","14.2","4.5","8.1","2.8","22.9","4.2","18.3","3.6","12.7","3.5","7.3","2.6","0.3","0.4","0.7","0.8","42603","2671","49371","3713","27.6","(X)","(X)","(X)","(X)","(X)","15233","1275","4.7","2.6","8.1","3.7","9.8","3.9","7.6","3.9","23.2","4.9","19.7","4.5","15.2","4.6","10.7","3.9","0.4","0.6","0.6","0.9","46959","4087","55697","4500","(X)","(X)","26.3","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","51396","6271","N","N","(X)","(X)","(X)","(X)","(X)","(X)","7957","1306","11.6","5.7","11.9","5.4","21.0","8.3","9.7","4.6","23.5","8.2","14.0","6.6","6.5","4.9","0.9","1.0","0.0","1.9","0.9","1.5","28960","9757","35664","5096","(X)","(X)","(X)","(X)","29.4","(X)"
"310M200US10500","Albany, GA Metro Area","57795","1512","14.1","2.0","8.4","1.8","12.2","2.1","11.4","2.3","14.1","2.2","17.0","2.5","11.5","2.2","7.3","1.6","2.8","1.2","1.3","0.6","39071","2542","51306","2710","37.1","(X)","(X)","(X)","(X)","(X)","39263","1816","9.7","2.1","5.4","1.8","10.9","2.6","12.4","2.8","15.2","2.8","17.5","3.0","14.1","3.2","9.4","2.1","3.8","1.6","1.6","0.9","45862","2658","58423","3993","(X)","(X)","37.3","(X)","(X)","(X)","23294","1577","1.5","1.1","3.3","1.5","6.8","2.3","11.2","3.3","13.8","3.5","22.6","4.4","18.3","4.1","14.5","3.3","5.4","2.4","2.7","1.5","61782","4448","N","N","(X)","(X)","(X)","(X)","(X)","(X)","18532","1597","24.6","4.3","14.6","3.9","16.2","4.2","9.6","3.3","12.9","4.4","13.4","4.3","5.1","2.3","2.2","1.3","0.9","1.2","0.6","0.7","21267","4581","33847","4588","(X)","(X)","(X)","(X)","35.2","(X)"
"310M200US10540","Albany, OR Metro Area","45907","1303","7.9","2.0","6.6","2.0","10.7","2.3","15.1","2.7","16.0","2.7","17.7","2.5","14.1","2.6","8.0","1.7","2.6","1.1","1.4","0.9","43428","4024","55665","3260","30.0","(X)","(X)","(X)","(X)","(X)","31410","1632","6.4","2.5","4.0","2.1","8.7","2.8","11.9","3.5","16.0","3.3","19.4","3.5","17.4","3.4","10.8","2.5","3.5","1.6","2.0","1.2","53401","7294","64480","4399","(X)","(X)","28.5","(X)","(X)","(X)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","62342","5486","N","N","(X)","(X)","(X)","(X)","(X)","(X)","14497","1643","15.9","4.7","12.4","4.0","16.1","4.7","20.2","5.1","16.2","4.5","12.0","4.0","5.4","3.0","1.5","1.6","0.3","0.5","0.1","0.1","27672","2520","32908","2854","(X)","(X)","(X)","(X)","29.8","(X)"
"310M200US10580","Albany-Schenectady-Troy, NY Metro Area","347291","4254","5.5","0.7","4.6","0.6","8.5","0.7","8.5","0.8","13.1","1.0","18.4","1.0","14.1","0.9","17.3","0.9","5.6","0.5","4.4","0.4","62265","1494","79446","1978","29.5","(X)","(X)","(X)","(X)","(X)","208301","4421","3.4","0.7","2.4","0.5","5.6","0.7","6.1","0.8","11.0","1.1","18.0","1.3","16.5","1.3","22.5","1.2","8.2","0.8","6.5","0.7","80576","2043","96557","3193","(X)","(X)","27.6","(X)","(X)","(X)","154468","4190","0.9","0.3","1.0","0.3","3.1","0.7","4.1","0.7","8.9","1.0","17.2","1.4","18.3","1.3","27.5","1.5","10.8","1.1","8.2","0.9","95078","1947","111903","3676","(X)","(X)","(X)","(X)","(X)","(X)","138990","4565","9.9","1.3","8.3","1.2","12.9","1.4","12.1","1.4","16.9","1.8","18.5","1.7","10.5","1.2","8.2","1.2","1.4","0.5","1.1","0.4","40857","1219","51078","1666","(X)","(X)","(X)","(X)","31.4","(X)"
