"","variable","label","id"
"1","S2403_C01_001E","total_emp","total"
"2","S2403_C01_002E","agri","Agriculture, forestry, fishing and hunting, and mining"
"3","S2403_C01_005E","construction","Construction"
"4","S2403_C01_007E","wholesale","Wholesale trade"
"5","S2403_C01_008E","retail","Retail trade"
"6","S2403_C01_009E","transportation","Transportation and warehousing, and utilities"
"7","S2403_C01_012E","information","Information"
"8","S2403_C01_013E","finance","Finance and insurance, and real estate and rental and leasing"
"9","S2403_C01_016E","professional","Professional, scientific, and management, and administrative and waste management services"
"10","S2403_C01_020E","education","Educational services, and health care and social assistance"
"11","S2403_C01_023E","ammenities","Arts, entertainment, and recreation, and accommodation and food services"
