"","CBSA","NAME","year","BIRTHS","DEATHS","DOMESTICMIG","INTERNATIONALMIG","NATURALINC","NETMIG","NPOPCHG","POPESTIMATE","RESIDUAL"
"1",14460,"Boston-Cambridge-Newton","2010",13282,7983,1643,7050,5299,8693,13753,4566348,-239
"2",14460,"Boston-Cambridge-Newton","2011",52009,34807,-5,26368,17202,26363,43442,4609790,-123
"3",14460,"Boston-Cambridge-Newton","2012",51155,33638,-2,30006,17517,30004,46803,4656593,-718
"4",14460,"Boston-Cambridge-Newton","2013",51825,34915,995,29086,16910,30081,46284,4702877,-707
"5",14460,"Boston-Cambridge-Newton","2014",51576,35254,-6106,34613,16322,28507,44054,4746931,-775
"6",14460,"Boston-Cambridge-Newton","2015",51914,37277,-14836,32017,14637,17181,31409,4778340,-409
"7",14460,"Boston-Cambridge-Newton","2016",51435,36398,-19437,35232,15037,15795,30721,4809061,-111
"8",14460,"Boston-Cambridge-Newton","2017",51065,37614,-18857,38232,13451,19375,32711,4841772,-115
"9",14460,"Boston-Cambridge-Newton","2018",50790,37981,-23195,28204,12809,5009,17764,4859536,-54
"10",14460,"Boston-Cambridge-Newton","2019",50726,38298,-23252,24391,12428,1139,13483,4873019,-84
"11",14860,"Bridgeport-Stamford-Norwalk","2010",2721,1505,490,797,1216,1287,2451,919355,-52
"12",14860,"Bridgeport-Stamford-Norwalk","2011",10408,6452,113,4608,3956,4721,8645,928000,-32
"13",14860,"Bridgeport-Stamford-Norwalk","2012",10202,6306,-2171,5465,3896,3294,7099,935099,-91
"14",14860,"Bridgeport-Stamford-Norwalk","2013",10053,6620,-2215,3711,3433,1496,4825,939924,-104
"15",14860,"Bridgeport-Stamford-Norwalk","2014",10090,6530,-5358,6057,3560,699,4272,944196,13
"16",14860,"Bridgeport-Stamford-Norwalk","2015",10186,6763,-7854,5138,3423,-2716,747,944943,40
"17",14860,"Bridgeport-Stamford-Norwalk","2016",10076,6757,-8417,4473,3319,-3944,-596,944347,29
"18",14860,"Bridgeport-Stamford-Norwalk","2017",9980,6893,-8845,4394,3087,-4451,-1309,943038,55
"19",14860,"Bridgeport-Stamford-Norwalk","2018",9628,6955,-7265,5483,2673,-1782,933,943971,42
"20",14860,"Bridgeport-Stamford-Norwalk","2019",9603,6960,-8080,4737,2643,-3343,-639,943332,61
"21",25540,"Hartford-East Hartford-Middletown","2010",3147,2464,231,787,683,1018,1620,1214091,-81
"22",25540,"Hartford-East Hartford-Middletown","2011",12446,10390,-4348,4299,2056,-49,1997,1216088,-10
