"","CBSA","NAME","year","pop.change.p","dom.mig","net.mig","population","age_one","age_two","age_three","age_four","age_five","low_income","middle_class","poverty","upper_class","upper_middle_class","y_adult_nohs","y_adult_hs","y_adult_col_high","adult_nohs","adult_hs","adult_col_high","agri","ammenities","construction","education","finance","information","professional","retail","transportation","wholesale","gdp.pcap"
"1",14460,"Boston-Cambridge-Newton",2010,0.0030118160070148,0.000359806129537214,0.00190370948512904,4566348,20.3,27.4,21.7,12.5,6.4,7.4,40.4,19.1,8.2,24.8,13.8,27.8,17.1,5.3,25.3,43.6,0.3,8.2,5,27,8.3,2.9,14.5,10.7,3.5,2.5,74496.1752805524
"2",14460,"Boston-Cambridge-Newton",2011,0.00942385661819736,-1.08464810761445e-06,0.00571891561220793,4609790,20.2,27.3,22.2,12.6,6.4,7.4,39.1,19.6,8.8,25.1,13.1,29.4,14,5.3,25,44.1,0.3,8.1,5.1,27.2,8.6,2.4,14.2,10.7,3.5,2.5,75488.8328969432
"3",14460,"Boston-Cambridge-Newton",2012,0.0100509106121149,-4.29498562575686e-07,0.00644333743576044,4656593,19.9,27.4,21.9,13.1,6.3,7.2,38.6,18.8,9.5,25.8,11.5,30.5,15,5.4,25.3,43.4,0.3,9.1,5.6,27.1,8.4,2.3,14,10.3,3.6,2.2,76684.3088927892
"4",14460,"Boston-Cambridge-Newton",2013,0.00984163523732388,0.000211572618207961,0.00639629741539062,4702877,19.9,27.3,21.9,13.4,6.3,7.3,38.5,18,10,26.3,12.6,30,15.9,4.7,24.8,44.6,0.2,8.6,4.9,27.5,8.1,2.5,15.2,10.2,3.5,2.3,76147.4452765828
"5",14460,"Boston-Cambridge-Newton",2014,0.00928052251022819,-0.00128630477249406,0.00600535377489161,4746931,19.8,27.4,21.6,13.9,6.3,6.8,36.9,17.9,11.2,27,11.5,29.9,16.8,4.9,24.4,45.3,0.3,8.9,5.3,27.1,8.1,2.8,14.7,9.9,3.5,2.4,77059.2816706204
"6",14460,"Boston-Cambridge-Newton",2015,0.00657320324631567,-0.00310484394161989,0.00359560014565728,4778340,19.6,27.3,21.3,14.4,6.3,6.8,36.3,16.9,12.1,27.9,9.8,26.9,20.5,4.3,23.4,46,0.3,9,5.2,27.5,7.8,2.7,15.3,9.9,3.7,2.1,79795.0499545867
"7",14460,"Boston-Cambridge-Newton",2016,0.006388149370532,-0.00404174536359593,0.00328442496362596,4809061,20,27.1,21.2,14.8,6.4,6.2,36.2,16,13.1,28.6,11.2,26.1,20.5,4.4,22.7,46.9,0.3,8.7,5.4,27,8.1,2.5,15.3,10,3.4,2.3,80905.79824211
"8",14460,"Boston-Cambridge-Newton",2017,0.00675599759757378,-0.00389464848819812,0.00400163411246957,4841772,17.7,22.2,26.3,13.4,13.2,6.2,34.3,16,14.6,28.9,10.3,25.2,21.4,4.2,22.5,47.6,0.3,8.5,5.5,27.6,7.9,2.5,15.6,9.8,3.7,2.1,82482.3492308188
"9",14460,"Boston-Cambridge-Newton",2018,0.00365549303472595,-0.00477308944722294,0.00103075684592109,4859536,17.5,22.3,25.9,13.4,13.5,5.8,33.6,15.4,15.8,29.4,9.6,27.2,21.5,4,21.1,49.1,0.3,8.7,5.3,27.4,7.8,2.4,16.1,9.6,3.7,2,84957.8692286671
"11",14860,"Bridgeport-Stamford-Norwalk",2010,0.00266599953228078,0.000532982362634673,0.00139989449124658,919355,19.5,25.9,22.4,12.5,6.6,7.4,37.2,17.2,14.3,23.9,20.3,27.6,11.6,6,22.7,46.4,0.3,7.3,6.3,21.6,11.9,3.1,16.2,10.6,3.1,2.8,90121.5199786807
