GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00999","United States (Nonmetropolitan Portion) 1/", ,MAIRPD,1,"...","Implicit regional price deflator","Index",81.2,81.2,83.2,85.5,87.3,89.0,90.3,90.3,90.8,92.1
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",84.8,84.1,86.1,88.6,91.0,91.8,93.5,93.3,94.7,96.0
 "10420","Akron, OH (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",83.8,82.8,84.3,86.9,88.4,90.4,92.3,92.8,93.4,95.1
 "10500","Albany, GA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",78.1,78.3,80.2,82.6,84.2,85.2,86.1,86.1,86.1,87.0
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",90.5,89.8,90.7,91.7,92.7,94.6,97.1,96.5,98.0,99.5
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",93.9,93.2,94.0,96.3,98.6,100.6,102.8,103.4,104.4,105.9
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",90.2,90.9,92.5,95.0,96.7,98.4,99.2,98.9,99.4,100.8
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",82.3,81.2,82.8,84.3,87.2,88.8,90.8,90.6,90.9,92.4
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",94.4,94.2,95.3,97.7,99.4,101.3,103.6,103.9,104.8,105.9
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",84.2,83.8,85.6,88.6,91.2,91.2,92.9,92.7,94.3,95.9
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",88.7,88.0,88.6,90.6,92.6,93.9,95.1,95.5,96.4,98.2
 "11180","Ames, IA (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",83.5,84.1,85.4,87.8,89.3,91.1,93.2,93.8,94.8,96.9
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",104.6,104.3,105.0,106.9,107.9,109.4,111.3,111.3,112.6,113.6
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",97.0,96.4,97.3,99.7,101.2,102.5,103.9,104.1,105.3,107.1
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",80.3,78.5,79.6,81.7,84.6,85.9,86.3,86.5,87.0,89.2
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",87.6,87.0,88.4,91.0,92.9,93.9,94.4,93.7,94.3,95.3
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,MAIRPD,1,"...","Implicit regional price deflator","Index",87.2,87.1,88.1,90.0,91.8,93.5,95.4,95.3,95.9,97.5
