GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "00000","United States", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",13207190.6,12807725.4,13104885.1,13569148.7,13998383.0,13987180.6,14570420.8,15244966.3,15478450.2,15925840.5
 "00999","United States (Nonmetropolitan Portion) 3/", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",1801981.6,1773027.5,1802224.9,1857918.2,1882024.9,1876865.1,1915293.9,1961155.8,1958386.5,1994749.4
 "10180","Abilene, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",6645.1,6441.4,6623.8,6829.3,6988.8,7150.8,7544.3,7429.1,7206.5,7258.4
 "10420","Akron, OH (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",32212.2,31595.8,31903.6,32254.9,32647.2,32520.8,33404.9,34155.2,34277.7,35052.7
 "10500","Albany, GA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",5747.7,5863.4,5895.5,6142.6,6058.2,5927.9,6007.8,6085.8,6150.4,6215.2
 "10540","Albany-Lebanon, OR (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",3935.6,3968.2,4075.4,4174.3,4277.5,4252.8,4402.8,4743.9,4902.3,5130.3
 "10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",39285.6,39932.7,41174.9,41641.4,42153.7,42193.1,42881.5,44704.1,45070.1,46888.3
 "10740","Albuquerque, NM (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",33529.2,33128.4,33134.4,33652.4,33533.5,32531.8,34161.4,35608.3,36792.8,36891.1
 "10780","Alexandria, LA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",6442.5,6473.8,6478.8,6719.6,6788.9,6707.8,6666.4,6918.2,7048.3,7018.2
 "10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",36523.8,35291.5,36257.1,36707.4,36688.2,36460.5,37193.9,38787.6,39654.1,40549.2
 "11020","Altoona, PA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",5038.7,5117.8,5183.3,5289.7,5273.6,5261.4,5386.3,5641.3,5604.5,5672.3
 "11100","Amarillo, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",9992.3,9855.3,10668.4,11135.2,11233.5,11216.9,11724.3,11867.2,11755.2,11901.8
 "11180","Ames, IA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",5008.4,4736.5,4629.8,4878.3,5342.0,5031.9,5124.5,5254.2,5261.3,5277.4
 "11260","Anchorage, AK (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",18106.8,18114.7,19245.5,20018.6,20312.5,19796.8,20565.1,21356.5,20528.7,20489.2
 "11460","Ann Arbor, MI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",15644.1,14758.1,16118.6,15801.9,16630.0,16576.5,17194.1,18259.2,18931.7,19556.1
 "11500","Anniston-Oxford, AL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",4508.6,4554.2,4601.8,4598.1,4491.0,4345.3,4452.4,4567.1,4597.8,4589.5
 "11540","Appleton, WI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",9794.4,9686.4,9803.8,10173.5,10396.5,10446.2,10958.6,11510.8,11859.9,12214.6
 "11700","Asheville, NC (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",16444.7,15964.7,16132.6,16465.6,17181.8,16924.8,17757.4,18944.0,19598.0,20205.8
 "12020","Athens-Clarke County, GA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",6403.4,6355.0,6438.6,6670.4,6887.6,6958.1,7347.1,7902.6,8160.2,8474.6
 "12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",221225.0,216466.7,220752.9,233989.3,237464.7,237709.9,254257.1,268557.0,277919.4,289718.9
 "12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",10441.1,10280.2,10416.7,10735.1,10780.4,10817.1,10947.3,11191.1,11318.8,11547.1
 "12220","Auburn-Opelika, AL (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",4976.5,4848.8,4996.5,5226.5,5482.8,5526.5,5816.4,6175.3,6485.5,6633.2
 "12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",21303.1,21528.2,22097.1,22728.5,22559.6,22381.4,23396.6,24869.4,25377.2,26043.9
 "12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",72740.7,70831.0,74956.6,81017.6,87380.5,89337.2,95790.6,100972.1,103881.5,110986.2
 "12540","Bakersfield, CA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",26579.9,26173.6,27927.1,28930.7,30207.6,30666.0,32667.9,33538.9,33538.7,33823.1
 "12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",128587.0,126237.5,127480.3,131387.1,134216.4,133397.2,137003.5,142433.8,145688.0,147685.0
 "12620","Bangor, ME (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",5481.6,5652.8,5624.3,5649.1,5603.8,5493.8,5621.7,5783.7,5892.8,5962.2
 "12700","Barnstable Town, MA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",11100.0,11260.2,11534.7,11973.3,12302.3,12286.5,12612.7,13189.7,13455.0,13707.9
 "12940","Baton Rouge, LA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",35270.2,34916.5,35505.2,36648.9,37123.5,37346.2,38134.9,39106.9,39641.4,40182.7
 "12980","Battle Creek, MI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",5020.4,4930.3,4993.7,5014.3,5051.3,5050.9,5111.9,5406.2,5491.5,5537.3
 "13020","Bay City, MI (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",4085.5,4071.6,4242.8,4294.2,4249.6,4140.1,4232.1,4498.4,4609.9,4631.1
 "13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",15470.0,15516.0,16075.9,16273.1,16677.8,16034.6,17241.8,17895.6,17771.9,18065.9
 "13220","Beckley, WV (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",5129.8,5306.8,5251.1,5686.7,5603.8,5335.0,5235.7,5265.4,5063.1,5456.3
 "13380","Bellingham, WA (Metropolitan Statistical Area)", ,MARPI,1,"...","Real personal income (millions of chained (2012) dollars)","Millions of chained 2012 dollars",7899.7,7698.1,7849.1,8010.8,8357.1,8227.2,8591.5,9139.5,9522.5,9958.9
