"","area","tbl_id"
"1","Bridgeport-Stamford-Norwalk","Connecticut"
"2","Danbury","Connecticut"
"3","Hartford-West Hartford-East Hartford","Connecticut"
"4","New Haven","Connecticut"
"5","Norwich-New London-Westerly","Connecticut"
"6","Waterbury","Connecticut"
"7","Barnstable Town","Massachusetts"
"8","Boston-Cambridge-Nashua","Massachusetts"
"9","Leominster-Gardner","Massachusetts"
"10","New Bedford","Massachusetts"
"11","Pittsfield","Massachusetts"
"12","Springfield","Massachusetts"
"13","Worcester","Massachusetts"
"14","Albany-Schenectady-Troy","New York"
"15","Binghamton","New York"
"16","Buffalo-Cheektowaga-Niagara Falls","New York"
"17","Elmira","New York"
"18","Glens Falls","New York"
"19","Ithaca","New York"
"20","Kingston","New York"
"21","New York-Newark-Jersey City","New York"
"22","Rochester","New York"
"23","Syracuse","New York"
"24","Utica-Rome","New York"
"25","Watertown-Fort Drum","New York"
