"","area","year","con","eduhe","fin","gov","inf","lehos","man","ml","oser","probu","total","ttu"
"1","Albany-Schenectady-Troy","2016",19.3,92.3,26.2,101.1,8.7,39.9,26.3,NA,18.7,56.1,464.1,75.5
"2","Albany-Schenectady-Troy","2017",19.6,94.7,26.2,101.6,8.5,41.4,26.6,NA,19,56.2,468.4,74.6
"3","Albany-Schenectady-Troy","2018",19.8,96.5,26.4,101.4,8.6,42,26.9,NA,19.3,56.5,471.9,74.5
"4","Barnstable Town","2016",6.2,20,3.8,15.9,1.4,19.5,3.3,NA,4.7,9.2,105.7,21.7
"5","Barnstable Town","2017",6.5,20.3,3.8,15.8,1.5,19.8,3.4,NA,4.6,9.1,106.6,21.8
"6","Barnstable Town","2018",6.9,20.1,3.9,15.9,1.5,19.8,3.3,NA,4.6,9.4,106.8,21.5
"7","Binghamton","2016",4.1,16.8,3.6,21.7,1.6,10.3,11.5,NA,5.3,9.1,103.2,19.3
"8","Binghamton","2017",4.2,17,3.6,21.9,1.5,10.5,11.4,NA,5.5,8.9,103.5,18.9
"9","Binghamton","2018",4,17.2,3.6,22,1.5,10.9,11.4,NA,5.5,9,104,18.9
"10","Boston-Cambridge-Nashua","2016",109.4,565,184.4,312.7,78.7,266.2,186.8,NA,101.7,477.6,2704.7,422.3
"11","Boston-Cambridge-Nashua","2017",112.4,575,184.9,311,80.1,272.8,187,NA,102.6,490.3,2741.1,425.2
"12","Boston-Cambridge-Nashua","2018",117,582.5,184.3,312.1,80.8,275.4,188.4,NA,104.2,499.9,2769.9,425.3
"13","Bridgeport-Stamford-Norwalk","2016",12.4,72.2,40.9,44.4,12.6,42.2,29.3,NA,17.7,68,410.5,70.9
"14","Bridgeport-Stamford-Norwalk","2017",12.5,73.6,39.9,43.9,12.3,42.6,29.1,NA,17.8,65.4,407.6,70.5
"15","Bridgeport-Stamford-Norwalk","2018",12.5,74.6,39,43.9,12.9,43.4,28.9,NA,17.7,65.5,408.1,69.8
"16","Buffalo-Cheektowaga-Niagara Falls","2016",21.6,95.6,34.9,88.5,7,60.2,52,NA,24.9,71.4,558.7,102.6
"17","Buffalo-Cheektowaga-Niagara Falls","2017",21,97.5,36.8,89.7,7.1,61,51.9,NA,25.1,71.3,562.1,100.8
"18","Buffalo-Cheektowaga-Niagara Falls","2018",20.8,99.1,36.5,89.7,7.4,61.1,52.2,NA,25.4,71.7,564.1,100.3
"19","Connecticut","2016",59.2,329.8,129.5,240.9,32.4,154,156.5,0.6,64.7,219.1,1683.9,297.3
"20","Connecticut","2017",58.4,333.3,127.9,238.5,31.6,156.6,158.7,0.6,65.1,219.6,1687.4,297.1
